reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d0445199-84e3-493e-8d94-2c6583616901,Amin k,https://play-lh.googleusercontent.com/a-/ALV-UjUjKKRszHNHXiXvahyrpf-7Yh-iNLl9Mug4eiQAZjU2UGObPYD8,"When we come to use mobile banking app this app is the WOREST one. Who made this app? Why? im almost forget to use it While the app right infront to my phone. I preffered to go branch office rather than to use it. Let alone for transaction or other service for simple purpose to check my balance i used to call for the bank 'call center' rather than to open for this difficult app. It need high speed internet service, it stop service for simple interuption of the network, after transfer the 1/2",1,6,,2024-02-13 07:35:34,,,
b95b5757-59e6-4147-9c90-c5bb787386c6,Abiy Ephrem,https://play-lh.googleusercontent.com/a/ACg8ocK1FUU7QyYWXyqVifzX2-B7T-Wwpdd2I_1vkysiGNENcJ1MXQ=mo,"Please add an option to manually input the OTP. I am residing outside of Ethiopia. I encountered difficulty accessing my account following the recent update (change) of your mobile banking app. Unfortunately, I am unable to activate the app on my mobile device. During the activation process, the app prompts for an OTP, which I can receive via Telegram. However, there is no option to manually input the OTP. I kindly request your assistance in resolving this matter and activating my account",3,131,24.01.09,2024-02-03 12:48:59,,,24.01.09
f0fe277f-65c1-461c-afad-8cd40c6ab368,habtamu soressa,https://play-lh.googleusercontent.com/a-/ALV-UjWZ_1TgoV0ShDP0DUP1kia5oqMlPFNcEpMkZvKhlebGmkTUbilW,"It's been two months now, I cannot do any transaction using this app. It's really disappointing. I am using bank of Abyssinia currently because it's the nearest bank to my work place. The bank is turning to the worst bank in the country day by day. They always respond to customers that they are updating their system all year long, I think that's what they train their customer service operators to do.",1,21,24.05.07,2024-06-26 08:45:58,,,24.05.07
d9506985-4b35-431f-81f7-f9388ddb14d2,Bethel Sileshi,https://play-lh.googleusercontent.com/a/ACg8ocK8_jxWwoibLWpNPYKmMXP-muN__CPnKQFPRcXzIljQalkQHj4=mo,"The worst mobile banking app! It doesn't load (seems like with the perfect WiFi and data connection it still manages to have network issues), when you finally get into the app, it makes it so hard more than it should be to send money.",1,69,24.05.07,2024-05-31 09:55:46,,,24.05.07
322c12e9-1e9a-4609-b4c0-3ef5f78ff589,Yonas A,https://play-lh.googleusercontent.com/a-/ALV-UjXjmqRijwRp6VOnJeChEHrGETK1Q48QR-Nnzex9FR6vYtlCqkI,"Playstore need to have some option to give 0 stars because this application right here, deserve exactly that, imagine being one of the biggest banks In the country and can't manage to have good mobile application in the Era of mobile money, you guys are in the brink of collapse you better make it right real quick or you gonna be 10 meters down to the grave. DON'T USE THIS APP, IT'S WASTE OF TIME.",1,121,24.05.07,2024-05-21 03:17:07,,,24.05.07
8bbe29d8-ec75-4ffb-9b2d-fe22c62b1182,Zeda Smart,https://play-lh.googleusercontent.com/a-/ALV-UjX7OZuoJx1shmnH1F6y_FRY-HFk0nNzitQganFzRR01DWkRdns,"The updated version of this app is just time wasting. It doesn't work with 2G/3G network.require log in frequently,not fast as much as possible.automatic log out are the bad features of this app",1,22,24.02.07,2024-04-13 03:51:14,,,24.02.07
14339503-d7a7-475c-bd75-f4240eee990c,selam selam,https://play-lh.googleusercontent.com/a/ACg8ocJjeWu3nUdiNkppGZg8Rh6iy_PQcvuxkQiPMO2CAKF7g1F4Hg=mo,"This is terrible app. What the hell is your problem. Passwords can't be entered manually. I'm abroad. I don't have my Ethiopian Sim. I'm receiving the activation code via telegram. But you locked the system not to accept the activation OTP manually. Hence, I can't see my accounts, I can't make transactions etc.... how can you not think of this in advance.... now I'm in a terrible situation. I can't know what is going on with my account. WOULD YOU FIX IT NOW.... NOT TOMORROW or THE DAY AFTER...",1,3,,2024-02-15 17:47:47,,,
5491d730-4219-44e7-804f-3089aa98f554,Dawit Zenebe,https://play-lh.googleusercontent.com/a-/ALV-UjW2O0NSR2FqVaQHus-DktqKdqX5DJ7c2Svcfz_tcH4E8euoaddE,"This app is trash, it's not working for the past 3-4 days. I've to go to the bank to send money to other banks. Plus the app keeps crashing since the last update. BOA as a bank is deteriorating! This has to change.",1,326,24.04.26,2024-04-30 10:45:24,,,24.04.26
6aba852c-18d6-4a41-a154-74c6184959ad,Shalom Abebaw,https://play-lh.googleusercontent.com/a-/ALV-UjX0Xd7wIcuBJJ7vzkul0ekI3nfH6eTlX2Lj31o11GntIcxRtDlM,"The worst mobile banking app ever!!! I have tried to transfer 25,000 from my BOA account to my CBE and it still hasn't reached my CBE account yet. When I tried contacting customer support they just tell me it's a problem with the system. I have waited 48 hours and I still haven't received my money. Bank of Abyssinia the worst bank and system, I don't recommend this app or bank to anyone.",1,30,24.02.07,2024-03-01 04:31:20,,,24.02.07
db0f8d24-804c-4cf2-8a36-f1f68b6bd616,Hailye Mesafint,https://play-lh.googleusercontent.com/a-/ALV-UjX3tC16tMF4qvSmkQMwTMFfh2UXmARbbeML8umbPhCWyG-7-Tr6,"This is the most stupid app I've seen, why would I turn off developer mode just because you can't make your app secure, this clearly indicates the app has very poor implementation and unskilled developers.. There are a lot of people who need developer option for different reasons. Please for the sake of the bank, fix this thing... Even the most secure international banking apps don't require it. Not to mention the lag and crashes",1,11,,2024-07-11 18:11:29,,,
53214d92-a487-43cb-b69d-b65294b40823,Hanna Merid,https://play-lh.googleusercontent.com/a-/ALV-UjWRMfuvCl5FcZkkRaTNhy8REAe9M2gEDy57MA1SONHyDLrZBMk,"The app is essentially unusable, it asks to disable developer mode even when it is already disabled and crashes, sometimes it only works with wifi and sometimes only with data, or it crashes just because.......",1,19,24.05.07,2024-07-04 00:59:38,,,24.05.07
9151c064-a00f-4efc-ad7a-1f632401b194,Tefera Lingerew,https://play-lh.googleusercontent.com/a-/ALV-UjVXgF67-NT2ds0vvmv-24IfyPyUhBADJPQXQhHOnFBICNhA4go,"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",1,43,24.07.04,2024-08-07 06:34:52,,,24.07.04
d587332b-4722-427d-aa23-47df325f4f55,Asfaw Aregawi,https://play-lh.googleusercontent.com/a-/ALV-UjX6ekeJyMVl0Ayl8PJ-L6c2qtcPYIcl4A2RXE7TTHUiYeJupoQ,"I've never seen a very worst mobile banking system like this, i lost 37000 birr because of your delay transaction system, i called 8397 and they told me stay for confirmation but, after i changed my mind and waiting for confirmation call to cancel the process they sent it with out my approval, so please don't use the mobile banking system please",1,53,24.04.22,2024-04-23 08:15:45,,,24.04.22
a8423c57-d734-4ebf-9dda-4f4dd43091ec,Yohannes Addisu,https://play-lh.googleusercontent.com/a/ACg8ocKV9jjFmwOAtyseWqIKzGDKf5Ch1tNUVs1M4Oc5-HAaefld_Q=mo,"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",1,21,24.07.04,2024-09-14 22:59:12,,,24.07.04
e9072e9a-76dc-49d1-b423-cb64c4656802,Yohannes Assefa,https://play-lh.googleusercontent.com/a-/ALV-UjVwg9_NSPfIIi3K1l82YSlh3LDv-GSIaUQrd94qff5J0xwY0sQ,this version is not working for me I cannot even buy card. I cannot send money,1,2,25.03.07,2025-03-30 05:27:26,,,25.03.07
b3a22053-e2b9-47e6-8083-a2e73a7c6bed,yonas gebre,https://play-lh.googleusercontent.com/a-/ALV-UjXE7RfDi8eySDco2807b_hHR0-GAtMA29WYI7qd0R_kjITHUfxy,after i typed in my password it says successfully logged out ...and goes back to the first page,2,2,25.03.07,2025-04-04 02:38:08,,,25.03.07
b10d3c9a-d5c8-422c-9bca-82a40310fb5c,Teddy and Fli,https://play-lh.googleusercontent.com/a-/ALV-UjWmwyTMeD9quS8mnVL-8WsUjWicNmU-FPOtffGrcwObiYaPRalW,it's not work correctly... you must have update it,1,2,25.03.07,2025-04-06 01:01:42,,,25.03.07
53263f41-9dd6-4165-a24a-a41fda4c390c,Nati Kasahun,https://play-lh.googleusercontent.com/a-/ALV-UjX_oJS20sQqMojAKhqZSlSXTSSs7UpU4a8wSc8B1SFWw_Dg1lX5,good but they don't update enough don't add new things,3,1,25.03.07,2025-04-04 02:24:06,,,25.03.07
7fd70a5c-3336-4c74-b321-622b29e5d371,Temesgen Ayneka Shonge,https://play-lh.googleusercontent.com/a-/ALV-UjVbfI_8NA2drkTR1-ip8raB7cJ15ObMZiK8GTFUcjVRLFRvtKe7,"Installed the latest version of this app on my Android 14 device, but it is not working. I have already received the activation key from your branch (via SMS), but couldn't activate it. It is a failed app. I bet you don't have QA testers.",1,34,24.04.22,2024-04-24 11:05:57,,,24.04.22
0e5e093a-1cf1-4c49-87ed-046888b8afa9,Nati Man,https://play-lh.googleusercontent.com/a/ACg8ocJoSKu3qrT2tWJn0-ef8I4N1pncAiOOBW_I6SKxvZpBhVyZMw=mo,"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,3,,2025-03-10 23:22:01,,,
1962d1c4-e2c2-4ac7-91b6-b0a75ae11d7a,Abel Tesfaye,https://play-lh.googleusercontent.com/a-/ALV-UjVIYC92EdgEqTJoHj55sKZYnWbOabm7fjrhMmSx0h4qJxxHC4u_,Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,5,24.11.22,2025-03-06 11:44:28,,,24.11.22
6b5a5455-dcd0-4a2a-8cbb-f0deb5706498,Rakeb Mulugeta,https://play-lh.googleusercontent.com/a-/ALV-UjX1VVX2AC5KbOYILSBO_pFAdZNJCxr-eZ04qJ0OD5Y00RIVDaLO,i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2,,2025-03-21 00:49:11,,,
0392e082-49c5-4493-a4ca-14430e890d1b,Adam Tube,https://play-lh.googleusercontent.com/a-/ALV-UjURmMFTtpuh907-x_27XsbN_ZGHF1_32dmqZu3usyf5FcLcvlKq,"Worst App it ain't allowing yo activate not even in the nearest branch are able to activate it. I have been client of the bank for 10years. What is this BoA? As we know it being a leading in simplifying banking service this App needs to be fixed. Then we will give it better rate,",1,16,24.02.07,2024-02-12 23:33:13,,,24.02.07
821887b9-da34-47e7-9eab-d9559813d40e,Mikias Berhe,https://play-lh.googleusercontent.com/a/ACg8ocLaSKSinYWGHuul6oAWu5CdWYbHxRGi-48mxYGLSmJD1mze-w=mo,"Great graphics, but why my music have to stop when I open this app? Make it make sense. But overall, it's good, but also needs too much data just to load this app. We might need a lite version of this.",3,1,,2024-02-15 01:22:15,,,
dc201a15-30b2-4d8b-8754-0ecc2db8130b,Mc solo,https://play-lh.googleusercontent.com/a-/ALV-UjVsd1y7nIG7dQbqhLKtO23W0xBWTQdoeGNObtTN2gavQitlzwyv,"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster",1,9,24.05.07,2024-06-27 13:33:38,,,24.05.07
94d435e8-8e1a-43e6-8a3c-bd755d66064e,Michael Bayray,https://play-lh.googleusercontent.com/a/ACg8ocIZBoAEiIvh4BsSPNWNgLrBBgRWUHzu2cKTjyA1PaJqaUssSg=mo,The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,1,25,24.04.26,2024-07-11 05:10:32,,,24.04.26
